Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,2555,32850,USD,Number of Site-to-Site VPN Connections (70)
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),S3 Standard,0,26.59,319.08,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (Ohio),Data Transfer,0,10.24,122.88,USD,"Data Transfer, Data transfer cost (10.24)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,54393,235.52,57219.24,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.r5.12xlarge)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,14000.27,175791.24,USD,Number of Application Load Balancers (3)
,US East (Ohio),Amazon CloudFront Service,0,2500,30000,USD,
,,AWS Support (Business),,500,,USD,
,,Total,,19906.55,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
